director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
stephen kay,barry watson,skye mccole bartusiak,charles mesure,drama|horror|mystery|thriller,boogeyman
mennan yapo,nia long,amber valletta,marc macaulay,drama|mystery|thriller,premonition
jun falkenstein,kath soucie,john fiedler,ken sansom,animation|comedy|drama|family|musical,the tigger movie
jaume collet-serra,jimmy bennett,cch pounder,aryana engineer,horror|mystery|thriller,orphan
boaz yakin,jay hernandez,joseph julian soria,edgar arreola,adventure|family,max
unknown,lamman rucker,david mann,denise boutte,comedy,meet the browns
jason friedberg,david carradine,carmen electra,fred willard,adventure|comedy,epic movie
john milius,william smith,mako,sandahl bergman,adventure|fantasy,conan the barbarian
tom mccarthy,billy crudup,jamey sheridan,brian d'arcy james,biography|crime|drama|history,spotlight
neil labute,jay hernandez,justin chambers,robert pine,crime|drama|thriller,lakeview terrace
takashi shimizu,sarah michelle gellar,sarah roemer,matthew knight,horror|thriller,the grudge 2
kevin rodney sullivan,richard lawson,james pickens jr.,barry shabaka henley,comedy|drama|romance,how stella got her groove back
peter hewitt,keanu reeves,george carlin,alex winter,adventure|comedy|fantasy|music|sci-fi,bill & ted's bogus journey
barry levinson,robin williams,tina fey,amy poehler,comedy|drama|romance|thriller,man of the year
gary nelson,robert forster,maximilian schell,yvette mimieux,action|sci-fi,the black hole
anton corbijn,violante placido,thekla reuten,filippo timi,crime|drama|thriller,the american
gregory nava,jon seda,constance marie,jacob vargas,biography|drama|music,selena
jason friedberg,diedrich bader,dave foley,anneliese van der pol,comedy,vampires suck
alejandro g. iñárritu,brad pitt,harriet walter,dermot crowley,drama,babel
shawn levy,tina fey,abigail spencer,jane fonda,comedy|drama,this is where i leave you
john patrick shanley,philip seymour hoffman,meryl streep,carrie preston,drama|mystery,doubt
trey parker,jeremy shada,maurice lamarche,trey parker,action|comedy,team america: world police
john luessenhop,gunnar hansen,keram malicki-sánchez,shaun sipos,horror|thriller,texas chainsaw 3d
jon amiel,william mcnamara,holly hunter,harry connick jr.,crime|drama|mystery|thriller,copycat
malcolm d. lee,marisa saks,snoop dogg,molly shannon,comedy,scary movie 5
joshua logan,clint eastwood,lee marvin,ray walston,comedy|drama|musical|romance|western,paint your wagon
gus van sant,james franco,denis o'hare,lucas grabeel,biography|drama|history,milk
kevin reynolds,peter firth,jan cornet,maría botto,action|adventure|drama|mystery,risen
steve beck,isaiah washington,ron eldard,francesca rettondini,horror,ghost ship
todd strauss-schulson,patton oswalt,thomas lennon,paula garcés,adventure|comedy,a very harold & kumar 3d christmas
john mcnaughton,bill murray,robert wagner,jeff perry,crime|drama|mystery|thriller,wild things
nelson mccormick,sela ward,paige turco,skyler samuels,crime|thriller,the stepfather
john madden,tom wilkinson,jesper christensen,romi aboulafia,drama|thriller,the debt
stephen frears,drake bell,lili taylor,lisa bonet,comedy|drama|music|romance,high fidelity
eric valette,johnny lewis,jason beghe,margaret cho,horror|mystery,one missed call
john schlesinger,joe mantegna,beverly d'angelo,philip baker hall,crime|drama|thriller,eye for an eye
roger donaldson,jason statham,saffron burrows,daniel mays,crime|drama|romance|thriller,the bank job
michel gondry,kate winslet,kirsten dunst,tom wilkinson,drama|fantasy|romance|sci-fi,eternal sunshine of the spotless mind
andy fickman,jamie lee curtis,james wolk,christine lakin,comedy|family|romance,you again
david ayer,keanu reeves,chris evans,noel gugliemi,action|crime|drama|thriller,street kings
edgar wright,michael smiley,thomas law,jasper levine,action|comedy|sci-fi,the world's end
andrew fleming,kay panabaker,laura harring,tate donovan,comedy|crime|family|mystery|romance|thriller,nancy drew
michael spierig,jay laga'aia,damien garvey,tiffany lamb,action|horror|sci-fi|thriller,daybreakers
jim field smith,mike vogel,kim shaw,geoff stults,comedy|romance,she's out of my league
thomas bezucha,leighton meester,luke bracey,brett cullen,adventure|comedy|family|romance,monte carlo
william brent bell,adam goldberg,frankie muniz,samaire armstrong,horror|thriller,stay alive
simon wincer,alan rickman,tom selleck,ben mendelsohn,action|adventure|drama|romance|western,quigley down under
anthony bell,kevin sussman,larry miller,christine lakin,adventure|animation|comedy|family|romance,alpha and omega
renny harlin,laura ramsey,kyle schmid,toby hemingway,action|fantasy|horror|thriller,the covenant
jessica bendinger,jeff bridges,vanessa lengies,john patrick amedori,comedy|drama|sport,stick it
robert rodriguez,jimmy bennett,leo howard,jake short,comedy|family|fantasy,shorts
gus van sant,kurtwood smith,wayne knight,holland taylor,comedy|crime|drama,to die for
henry joost,samira wiley,marc john jefferies,emily meade,adventure|crime|mystery|sci-fi|thriller,nerve
ed harris,viggo mortensen,james gammon,tom bower,crime|drama|western,appaloosa
john carpenter,sheryl lee,cary-hiroyuki tagawa,maximilian schell,action|horror|thriller,vampires
unknown,pablo sevilla,unknown,unknown,action|adventure|animation|family|fantasy,yu-gi-oh! duel monsters
alfred hitchcock,janet leigh,vera miles,john gavin,horror|mystery|thriller,psycho
howard deutch,dane cook,taran killam,riki lindhome,comedy|romance,my best friend's girl
shana feste,alex pettyfer,bruce greenwood,rhys wakefield,drama|romance,endless love
garry marshall,hector elizondo,zachary gordon,jane fonda,comedy|drama,georgia rule
steve rash,mako,adam arkin,billy barty,comedy,under the rainbow
richard donner,matthew broderick,john wood,leo mckern,adventure|comedy|drama|fantasy,ladyhawke
mark steven johnson,oliver platt,jan hooks,dana ivey,comedy|drama|family,simon birch
mike binder,adam sandler,don cheadle,john de lancie,drama,reign over me
sean penn,kristen stewart,william hurt,hal holbrook,adventure|biography|drama,into the wild
todd phillips,jon heder,sarah silverman,jacinda barrett,comedy,school for scoundrels
michael j. bassett,radha mitchell,deborah kara unger,martin donovan,adventure|drama|horror|mystery|thriller,silent hill: revelation 3d
robert rodriguez,quentin tarantino,salma hayek,cheech marin,crime|fantasy|horror,from dusk till dawn
frank nissen,kath soucie,brenda blethyn,john fiedler,animation|family|fantasy|mystery,pooh's heffalump movie
jodie foster,robert downey jr.,holly hunter,steve guttenberg,comedy|drama|romance,home for the holidays
stephen chow,shengyi huang,chi ling chiu,qiu yuen,action|comedy|crime|fantasy,kung fu hustle
unknown,leah remini,mark feuerstein,sharon lawrence,comedy,fired up
peter hastings,haley joel osment,alex rocco,stephen root,comedy|family|music|musical,the country bears
marc forster,mustafa haidari,shaun toub,khalid abdalla,drama,the kite runner
alejandro g. iñárritu,naomi watts,eddie marsan,danny huston,drama,21 grams
paul abascal,cole hauser,tom hollander,kelly carlson,action|crime|drama|thriller,paparazzi
catherine hardwicke,kristen stewart,taylor lautner,anna kendrick,drama|fantasy|romance,twilight
chris koch,thomas lennon,lochlyn munro,james brolin,comedy|romance,a guy thing
amy heckerling,andy dick,robert miano,zak orth,comedy|romance,loser
michael moore,ronald reagan,michael moore,bernie sanders,crime|documentary|news,capitalism: a love story
george stevens,martin landau,carroll baker,josé ferrer,biography|drama|history,the greatest story ever told
billy ray,julia roberts,michael kelly,joe cole,crime|drama|mystery|thriller,secret in their eyes
jason friedberg,carmen electra,tony cox,ike barinholtz,comedy,disaster movie
nimród antal,andrew fiscella,fred ward,lorna raver,action|crime|thriller,armored
jon amiel,bill murray,peter gallagher,joanne whalley,action|comedy|crime|thriller,the man who knew too little
mark mylod,chris evans,ari graynor,ed begley jr.,comedy|romance,what's your number?
james mather,joseph gilgun,vincent regan,jacky ido,action|adventure|sci-fi|thriller,lockout
barry levinson,amy poehler,ariel gade,sam lerner,comedy,envy
mark neveldine,jason statham,clifton collins jr.,david carradine,action|crime|sci-fi|thriller,crank: high voltage
woody allen,jim broadbent,chazz palminteri,dianne wiest,comedy|crime,bullets over broadway
michael o. sajbel,james callis,tiffany dupont,nimrat kaur,biography|drama|history,one night with the king
phillip noyce,brendan fraser,tzi ma,holmes osborne,drama|mystery|romance|thriller|war,the quiet american
gore verbinski,nicolas cage,hope davis,michael rispoli,comedy|drama,the weather man
walter hill,fisher stevens,wes studi,jon seda,action|crime|drama|sport,undisputed
david koepp,aasif mandvi,dequina moore,jordan carlos,comedy|drama|fantasy|romance,ghost town
renny harlin,taylor cole,ashley scott,nick gomez,action|crime|thriller,12 rounds
matt reeves,chloë grace moretz,dylan minnette,kodi smit-mcphee,drama|fantasy|horror|mystery,let me in
charles t. kanganis,victor wong,dustin nguyen,don stark,action|comedy|family,3 ninjas kick back
michel gondry,quinton aaron,mia farrow,melonie diaz,comedy,be kind rewind
stephen frears,bob hoskins,christopher guest,sarah solemani,comedy|drama|music|war,mrs henderson presents
john hillcoat,kate winslet,norman reedus,clifton collins jr.,action|crime|drama|thriller,triple 9
woody allen,woody allen,lynn cohen,judy davis,comedy,deconstructing harry
damon santostefano,matthew perry,oliver platt,david ramsey,comedy|romance,three to tango
john wells,bradley cooper,omar sy,riccardo scamarcio,comedy|drama,burnt
neil jordan,robert de niro,demi moore,james russo,comedy|crime,we're no angels
woody allen,natasha lyonne,gaby hoffmann,jeff derocker,comedy|musical|romance,everyone says i love you
frank oz,peter dinklage,ewen bremner,kris marshall,comedy,death at a funeral
james wan,aisha tyler,kelly preston,edi gathegi,action|crime|thriller,death sentence
kirk jones,robert de niro,james frain,brendan sexton iii,adventure|drama,everybody's fine
bob clark,scott baio,vanessa angel,peter wingfield,comedy|family|sci-fi,superbabies: baby geniuses 2
les mayfield,miguel ferrer,susie essman,gigi rice,action|comedy|crime,the man
les mayfield,callum rennie,will patton,cedric the entertainer,action|comedy|crime,code name: the cleaner
michael lembeck,debbie reynolds,nia vardalos,dash mihok,comedy|crime|music,connie and carla
bob fosse,sammy davis jr.,ricardo montalban,ben vereen,comedy|drama|music|musical|romance,sweet charity
paul thomas anderson,martin dew,katherine waterston,serena scott thomas,comedy|crime|drama|mystery|romance,inherent vice
dave borthwick,jimmy fallon,kylie minogue,jon stewart,adventure|animation|comedy|family|fantasy,doogal
benson lee,chris brown,caity lotz,laz alonso,drama|music,battle of the year
unknown,levar burton,eric mccormack,scott wolf,crime|drama|mystery|thriller,perception
david zucker,chriss anglin,geoffrey arend,gary coleman,comedy|fantasy,an american carol
robert rodriguez,alexa penavega,demián bichir,marko zaror,action|comedy|crime|thriller,machete kills
glen morgan,laura harring,ty olsson,jackie burroughs,drama|horror|sci-fi|thriller,willard
fred wolf,kevin alejandro,ashley scott,jeff garlin,adventure|comedy,strange wilderness
mike leigh,jim broadbent,dexter fletcher,lesley manville,biography|comedy|drama|history|music|musical,topsy-turvy
alejandro monteverde,tom wilkinson,cary-hiroyuki tagawa,michael rapaport,drama|war,little boy
david cronenberg,michael fassbender,viggo mortensen,sarah gadon,biography|drama|thriller,a dangerous method
richard linklater,robert downey jr.,keanu reeves,rory cochrane,animation|drama|mystery|sci-fi|thriller,a scanner darkly
michael apted,gerard butler,abigail spencer,leven rambin,biography|drama|sport,chasing mavericks
uwe boll,catherine lough haggquist,darren shahlavi,karin konoval,horror|sci-fi,alone in the dark
todd graff,scott porter,charlie saxton,ryan donowho,comedy|drama|family|music|romance,bandslam
jonathan glazer,cameron bright,anne heche,danny huston,drama|mystery|romance|thriller,birth
j.c. chandor,david oyelowo,ashley williams,albert brooks,action|crime|drama|thriller,a most violent year
paul gross,landon liboiron,michael greyeyes,caroline dhavernas,drama|history|romance|war,passchendaele
marc abraham,dylan authors,bill lake,victoria learn,biography|drama,flash of genius
todd haynes,christian bale,heath ledger,tyrone benskin,biography|drama|music,i'm not there.
mabrouk el mechri,henry cavill,bruce willis,óscar jaenada,action|thriller,the cold light of day
rian johnson,zachary gordon,maximilian schell,nora zehetner,adventure|comedy|drama|romance,the brothers bloom
charlie kaufman,philip seymour hoffman,jennifer jason leigh,samantha morton,comedy|drama|romance,"synecdoche, new york"
hayao miyazaki,minnie driver,jada pinkett smith,billy crudup,adventure|animation|fantasy,princess mononoke
jean-paul rappeneau,isabelle adjani,peter coyote,virginie ledoyen,comedy|drama|mystery|romance|thriller|war,bon voyage
nancy walker,steve guttenberg,randy jones,caitlyn jenner,biography|comedy|musical,can't stop the music
john hillcoat,ray winstone,noah taylor,danny huston,crime|drama|western,the proposition
angelo pizzo,donny boaz,finn wittrock,brent anderson,biography|drama|sport,courage
richard benjamin,damon wayans,jane krakowski,paula garcés,comedy|music,marci x
kurt wimmer,christian bale,emily watson,sean pertwee,action|drama|sci-fi|thriller,equilibrium
roger spottiswoode,radha mitchell,guang li,matthew walker,drama|war,the children of huang shi
james gray,charlize theron,ellen burstyn,faye dunaway,crime|drama|romance|thriller,the yards
matthew diamond,chazz palminteri,garrett clayton,toni braxton,adventure|family|fantasy|musical,the oogieloves in the big balloon adventure
angelina jolie pitt,brad pitt,angelina jolie pitt,melvil poupaud,drama|romance,by the sea
katsuhiro ôtomo,william hootkins,robin atkin downes,rosalind ayres,action|adventure|animation|family|sci-fi|thriller,steamboy
david anspaugh,gerard butler,costas mandylor,jimmy jean-louis,drama|history|sport,the game of their lives
andrew jarecki,ryan gosling,kirsten dunst,frank langella,crime|drama|mystery|romance|thriller,all good things
kevin reynolds,esai morales,jason scott lee,sandrine holt,action|adventure|drama|history|romance,rapa nui
stephen chow,jiao xu,yuqi zhang,chi chung lam,comedy|family|sci-fi,cj7
jean-marie poiré,christian clavier,philippe nahon,marie-anne chazel,comedy|family|fantasy|sci-fi,les couloirs du temps: les visiteurs ii
kevin munroe,marco st. john,laura spencer,anita briem,action|comedy|crime|fantasy|horror|mystery|sci-fi|thriller,dylan dog: dead of night
daniel algrant,al pacino,richard schiff,mark webber,crime|drama|mystery,people i know
unknown,peter vaughan,george coulouris,ewen solon,drama|family,the doombolt chase
julie taymor,djimon hounsou,reeve carney,tom conti,comedy|drama|fantasy|romance,the tempest
alejandro amenábar,emma watson,aaron ashmore,julian richings,crime|drama|mystery|thriller,regression
jane clark,necar zadegan,traci dinwiddie,elea oberon,romance|short,the touch
daniel lee,andy lau,sammo kam-bo hung,andy on,action|drama|history|war,three kingdoms: resurrection of the dragon
mike barker,gerard butler,nicholas lea,callum rennie,crime|drama|thriller,shattered
wayne thornley,leonard nimoy,phil lamarr,noureen dewulf,adventure|animation|comedy|family,zambezia
gnana rajasekaran,mani bharathi,michael lieber,kevin mcgowan,biography|drama|history,ramanujan
tom walsh,joey d. vieira,maggie wheeler,jacqueline lovell,animation,dwegons and leprechauns
jonathan jakubowicz,robert de niro,jurnee smollett-bell,edgar ramírez,action|biography|drama|sport,hands of stone
james mcteigue,milla jovovich,roger rees,robert forster,action|crime|thriller,survivor
scott walker,nicolas cage,radha mitchell,jodi lyn o'keefe,crime|drama|mystery|thriller,the frozen ground
john curran,toby jones,sally hawkins,alan david,drama|romance,the painted veil
uli edel,moritz bleibtreu,alexandra maria lara,martina gedeck,action|biography|crime|drama,the baader meinhof complex
kevin costner,mary mcdonnell,michael spears,maury chaykin,adventure|drama|western,dances with wolves
jake kasdan,justin timberlake,john michael higgins,phyllis smith,comedy,bad teacher
harold becker,al pacino,michael o'neill,ellen barkin,crime|drama|mystery|thriller,sea of love
mark rosman,dan byrd,lin shaye,julie gonzalo,comedy|family|romance,a cinderella story
wes craven,david arquette,w. earl brown,roger jackson,horror|mystery,scream
steve beck,shannon elizabeth,embeth davidtz,f. murray abraham,horror,thir13en ghosts
stanley kubrick,scatman crothers,shelley duvall,joe turkel,drama|horror,the shining
robert zemeckis,lea thompson,thomas f. wilson,j.j. cohen,adventure|comedy|sci-fi,back to the future
william malone,jeffrey combs,peter gallagher,bridgette wilson-sampras,horror|mystery|thriller,house on haunted hill
tyler perry,eric mendenhall,mary j. blige,hope olaide wilson,comedy|drama,i can do bad all by myself
rob hawk,kari j. kramer,erin o'brien,cabrina collesides,action|drama,fight valley
josh gordon,caroline dhavernas,scott elrod,kelli barrett,comedy|drama|romance,the switch
shawn levy,taran killam,david agranov,david moscow,comedy|romance,just married
lee tamahori,mem ferda,dominic cooper,ludivine sagnier,biography|drama|thriller,the devil's double
unknown,nicole 'snooki' polizzi,jenni 'jwoww' farley,paul 'pauly d' delvecchio,comedy|drama|reality-tv|romance,"gone, baby, gone"
britt allcroft,mara wilson,colm feore,peter fonda,adventure|comedy|drama|family|fantasy,thomas and the magic railroad
breck eisner,radha mitchell,glenn morshower,john aylward,horror|thriller,the crazies
hayao miyazaki,bunta sugawara,ryûnosuke kamiki,miyu irino,adventure|animation|family|fantasy,spirited away
alan yuen,andy lau,michael wong,terence yin,action|crime|thriller,firestorm
roger donaldson,liam neeson,anthony hopkins,laurence olivier,action|adventure|drama|history|romance,the bounty
brian percival,emily watson,sophie nélisse,roger allam,drama|war,the book thief
sean anders,katrina bowden,michael cudlitz,alice greczyn,adventure|comedy|romance,sex drive
anand tucker,adam scott,kaitlin olson,dominique mcelligott,comedy|romance,leap year
anthony mann,james mason,mel ferrer,stephen boyd,drama|history|war,the fall of the roman empire
michael dowse,topher grace,michael biehn,dan fogler,comedy|drama|romance,take me home tonight
daniel barnz,holly hunter,rosie perez,dante brown,drama,won't back down
emile ardolino,darci kistler,kyra nichols,margaret tracey,family|fantasy|music,the nutcracker
robert altman,steve buscemi,jennifer jason leigh,miranda richardson,crime|drama|music|thriller,kansas city
james schamus,logan lerman,sarah gadon,tracy letts,drama,indignation
andrew douglas,jimmy bennett,chloë grace moretz,ryan reynolds,drama|horror|mystery|thriller,the amityville horror
spike jonze,nicolas cage,meryl streep,roger willie,comedy|drama,adaptation.
george a. romero,tony nappo,shawn roberts,pedro miguel arce,horror,land of the dead
danny pang,louis koo,angelica lee,ching wan lau,action,out of inferno
terry gilliam,johnny depp,michael jeter,ellen barkin,adventure|comedy|drama,fear and loathing in las vegas
ricky gervais,jennifer garner,tina fey,martin starr,comedy|fantasy|romance,the invention of lying
nicholas stoller,craig roberts,carla gallo,ike barinholtz,comedy,neighbors
chuck russell,peter greene,amy yasbeck,reg e. cathey,action|comedy|crime|fantasy,the mask
penny marshall,tom hanks,jon lovitz,john heard,comedy|drama|family|fantasy|romance,big
larry charles,luenell,ken davitian,chester,comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan
robert luketic,linda cardellini,raquel welch,alanna ubach,comedy|romance,legally blonde
leonard nimoy,leonard nimoy,nichelle nichols,walter koenig,action|adventure|sci-fi,star trek iii: the search for spock
scott derrickson,tom wilkinson,colm feore,jr bourne,drama|horror|thriller,the exorcism of emily rose
mike mitchell,amy poehler,eddie griffin,bree turner,comedy|romance,deuce bigalow: male gigolo
vic armstrong,nicolas cage,lea thompson,quinton aaron,action|drama|fantasy|mystery|thriller,left behind
thomas bezucha,craig t. nelson,paul schneider,tyrone giordano,comedy|drama|romance,the family stone
kevin rodney sullivan,harry lennix,sean patrick thomas,kenan thompson,comedy|drama,barbershop 2: back in business
terry zwigoff,bernie mac,tony cox,alex borstein,comedy|crime|drama,bad santa
jay roach,will ferrell,charles napier,robert wagner,comedy|crime,austin powers: international man of mystery
kirk jones,nia vardalos,louis mandylor,joey fatone,comedy|family|romance,my big fat greek wedding 2
david bowers,zachary gordon,rachael harris,fran kranz,comedy|family,diary of a wimpy kid: rodrick rules
john mctiernan,shane black,bill duke,carl weathers,action|horror|sci-fi,predator
milos forman,jeffrey jones,f. murray abraham,tom hulce,biography|drama|history|music,amadeus
nelson mccormick,ming-na wen,scott porter,collins pennie,horror|mystery,prom night
mark waters,tina fey,amy poehler,neil flynn,comedy,mean girls
audrey wells,raoul bova,lindsay duncan,mario monicelli,comedy|drama|romance,under the tuscan sun
robert altman,kristin scott thomas,bob balaban,tom hollander,drama|mystery,gosford park
unknown,peter gallagher,melinda clarke,tate donovan,comedy|drama|romance,the o.c.
francis ford coppola,nicolas cage,kathleen turner,joan allen,comedy|drama|fantasy|romance,peggy sue got married
alejandro g. iñárritu,emma stone,naomi watts,merritt wever,comedy|drama|romance,birdman or (the unexpected virtue of ignorance)
woody allen,sally hawkins,charlie tahan,andrew dice clay,drama,blue jasmine
paul greengrass,christian clemenson,david alan basche,susan blommaert,drama|history|thriller,united 93
bille woodruff,christian monzon,mekhi phifer,romeo miller,drama|music|romance,honey
edward zwick,denzel washington,morgan freeman,matthew broderick,drama|history|war,glory
rick friedberg,hulk hogan,barry bostwick,nicollette sheridan,action|comedy,spy hard
john carpenter,jamie lee curtis,hal holbrook,janet leigh,fantasy|horror,the fog
sean mcnamara,dennis quaid,chris brochu,craig t. nelson,biography|drama|family|sport,soul surfer
mike nichols,bob newhart,bob balaban,martin balsam,comedy|drama|war,catch-22
jody hill,collette wolfe,celia weston,dan bakkedahl,comedy|crime|drama,observe and report
richard fleischer,mako,olivia d'abo,grace jones,action|adventure|fantasy,conan the destroyer
martin scorsese,robert de niro,cathy moriarty,frank vincent,biography|drama|sport,raging bull
brandon camp,judy greer,sasha alexander,frances conroy,drama|romance,love happens
barry levinson,nicholas rowe,roger ashton-griffiths,freddie jones,adventure|fantasy|mystery|thriller,young sherlock holmes
kevin tancharoen,kelsey grammer,kay panabaker,megan mullally,comedy|drama|musical|romance,fame
danny boyle,james franco,treat williams,kate burton,adventure|biography|drama|thriller,127 hours
woody allen,woody allen,jon lovitz,michael rapaport,comedy|crime,small time crooks
nicholas hytner,amanda schull,susan may pratt,ethan stiefel,drama|music|romance,center stage
jessie nelson,olivia wilde,alex borstein,timothée chalamet,comedy,love the coopers
bart freundlich,kristen stewart,corbin bleu,kevin g. schmidt,comedy|crime,catch that kid
irwin winkler,ian somerhalder,hayden christensen,kristin scott thomas,drama,life as a house
danny boyle,kate winslet,michael fassbender,michael stuhlbarg,biography|drama,steve jobs
chris columbus,alan ruck,marie avgeropoulos,shawn roberts,comedy|romance,"i love you, beth cooper"
miguel arteta,steve buscemi,ari graynor,fred willard,comedy|drama|romance,youth in revolt
william a. fraker,jason robards,richard farnsworth,michael horse,action|adventure|western,the legend of the lone ranger
john boorman,daniel radcliffe,jamie lee curtis,mark margolis,drama|thriller,the tailor of panama
brian de palma,nancy allen,dennis franz,john mcmartin,mystery|thriller,blow out
courtney solomon,rebecca budig,paul freeman,bruce payne,action|crime|thriller,getaway
ang lee,joan allen,kate burton,henry czerny,drama,the ice storm
rob reiner,yaya dacosta,annie parisse,frankie valli,comedy|drama|romance,and so it goes
jeff kanew,craig t. nelson,shelley long,kellie martin,adventure|comedy,troop beverly hills
istván szabó,miriam margolyes,shaun evans,juliet stevenson,comedy|drama|romance,being julia
adrian lyne,david margulies,karen young,kim chan,drama|romance,9½ weeks
matthew robbins,ian mcdiarmid,ralph richardson,albert salmi,action|adventure|fantasy,dragonslayer
michael hoffman,david masterson,kerry condon,anne-marie duff,biography|drama|romance,the last station
tim burton,johnny depp,bill murray,martin landau,biography|comedy|drama,ed wood
jason reitman,j.k. simmons,kate winslet,brooke smith,drama,labor day
sergey bodrov,tadanobu asano,khulan chuluun,honglei sun,adventure|biography|drama|history|war,mongol: the rise of genghis khan
guy ritchie,tom hardy,gerard butler,tom wilkinson,action|crime|thriller,rocknrolla
hal needham,barry bostwick,michael beck,henry silva,action|sci-fi,megaforce
kenneth branagh,julie christie,brian blessed,richard briers,drama,hamlet
bruce beresford,bruce greenwood,suzie steen,aden young,biography|drama|music|romance,mao's last dancer
jeff nichols,kirsten dunst,sam shepard,paul sparks,adventure|drama|sci-fi|thriller,midnight special
woody allen,woody allen,stockard channing,fisher stevens,comedy|romance,anything else
jonathan teplitzky,jeremy irvine,colin firth,sam reid,biography|drama|romance|war,the railway man
unknown,poppy montgomery,dylan walsh,dallas roberts,drama|mystery,unforgettable
michael haneke,ulrich tukur,burghart klaußner,leonie benesch,drama|mystery,the white ribbon
zack ward,zack ward,anna harr,james cullen bressack,horror,restoration
mike marvin,clint howard,randy quaid,nick cassavetes,action|horror|romance|sci-fi|thriller,the wraith
d.j. caruso,adam goldberg,meat loaf,anthony lapaglia,crime|drama|mystery|thriller,the salton sea
nimród antal,james hetfield,mackenzie gray,lars ulrich,music,metallica through the never
gregor jordan,austin nichols,brad renfro,lou taylor pucci,crime|drama|thriller,the informers
unknown,edgar ramírez,nora von waldstätten,katharina schüttler,biography|crime|drama|thriller,carlos
tran anh hung,takuya kimura,simón andreu,shawn yue,thriller,i come with the rain
lance hool,tom berenger,joaquim de almeida,mark moses,action|drama|history|romance|war|western,one man's hero
george a. romero,greg nicotero,john amplas,joseph pilato,horror,day of the dead
chuck russell,sam trammell,rebecca de mornay,amanda schull,action|crime|drama|thriller,i am wrath
christian volckman,romola garai,catherine mccormack,kevork malikyan,action|animation|sci-fi|thriller,renaissance
jon cassar,demi moore,landon liboiron,michael wincott,drama|western,forsaken
richard fleischer,ernie reyes jr.,brigitte nielsen,sandahl bergman,action|adventure|fantasy,red sonja
rodrigo cortés,robert de niro,toby jones,craig roberts,drama|horror|mystery|thriller,red lights
greg mottola,emma stone,joe lo truglio,kevin corrigan,comedy,superbad
tyler perry,vanessa ferlito,keshia knight pulliam,derek luke,comedy|crime|drama,madea goes to jail
david hayter,jason momoa,jennifer hale,stephen mchattie,action|horror,wolves
jon m. chu,cassie ventura,mari koda,luis rosado,drama|music|musical|romance,step up 2: the streets
cory edwards,anne hathaway,chazz palminteri,jim belushi,action|animation|comedy|crime|family,hoodwinked!
terry george,don cheadle,sophie okonedo,hakeem kae-kazim,drama|history|war,hotel rwanda
xavier gens,henry ian cusick,dougray scott,ulrich thomsen,action|crime|drama|thriller,hitman
kasi lemmons,jennifer hudson,mary j. blige,vondie curtis-hall,drama|family|music|musical,black nativity
brian a miller,bruce willis,50 cent,jessica lowndes,action|thriller,the prince
matt dillon,kirk fox,shawn andrews,rob campbell,crime|drama|thriller,city of ghosts
alejandro amenábar,fionnula flanagan,elaine cassidy,eric sykes,fantasy|horror|thriller,the others
james cameron,michael biehn,carrie henn,jenette goldstein,action|adventure|sci-fi,aliens
george cukor,jeremy brett,rex harrison,theodore bikel,drama|family|musical|romance,my fair lady
jim gillespie,muse watson,sarah michelle gellar,anne heche,horror|mystery|thriller,i know what you did last summer
luke greenfield,rob riggle,damon wayans jr.,james d'arcy,comedy,let's be cops
alexander payne,virginia madsen,patrick gallagher,m.c. gainey,adventure|comedy|drama|romance,sideways
jay chandrasekhar,chris moss,owain yeoman,jay chandrasekhar,comedy,beerfest
john carpenter,jamie lee curtis,donald pleasence,p.j. soles,horror|thriller,halloween
yimou zhang,jet li,tony chiu wai leung,maggie cheung,action|adventure|history,hero
john hoffman,liam aiken,molly shannon,kevin nealon,comedy|drama|family|fantasy|sci-fi,good boy!
malcolm d. lee,harold perrineau,sanaa lathan,eddie cibrian,comedy|drama,the best man holiday
joe carnahan,ryan reynolds,common,alex rocco,action|crime|drama|thriller,smokin' aces
kevin greutert,costas mandylor,gina holden,betsy russell,horror|mystery,saw 3d: the final chapter
michael lehmann,emmanuelle vaugier,vinessa shaw,paulo costanzo,comedy|romance,40 days and 40 nights
joseph kosinski,jeff bridges,olivia wilde,james frain,action|adventure|sci-fi,tron: legacy
john fortenberry,will ferrell,chris kattan,dan hedaya,comedy|music|romance,a night at the roxbury
daniel barnz,alex pettyfer,mary-kate olsen,erik knudsen,drama|fantasy|romance,beastly
alexandre aja,dan byrd,greg nicotero,vinessa shaw,horror,the hills have eyes
sam weisman,kevin grevioux,jenna boyd,mary mccormack,comedy,dickie roberts: former child star
niki caro,morgan saylor,valente rodriguez,diana maria riva,biography|drama|sport,"mcfarland, usa"
erik white,brandon t. jackson,loretta devine,shad moss,comedy,lottery ticket
chris robinson,t.i.,adam boyer,malika,comedy|crime|drama|music|romance,atl
jason moore,anna kendrick,hana mae lee,ben platt,comedy|music|romance,pitch perfect
michael tollin,marc blucas,brian dennehy,bruce davison,comedy|drama|romance|sport,summer catch
sam raimi,gary cole,bridget fonda,chelcie ross,crime|drama|thriller,a simple plan
robert harmon,alexander gould,ethan embry,marc blucas,horror|mystery|thriller,they
trent cooper,thomas f. wilson,larry the cable guy,megyn price,comedy|romance,larry the cable guy: health inspector
